id,event_time,actor_id,actor_display_name,actor_role,action,resource,patient_id,request_id,ip_address,user_agent,payload_hash,previous_hash,event_hash,payload
-47,2025-11-10 06:22:05.318451+09,anonymous,anonymous,,SYSTEM_ACTIVITY_SUMMARY,"/openDolphin/resources/dolphin/activity/2025,04",,269fa2ec-5054-4cb6-8470-168fd0cd40a4,192.168.65.1,curl/8.7.1,e0467d07f596125cc16ba64a01781a8d83f392c608905a56feddc72fca46458a,54e60ac558ee85192a35cc22f22526ce45ed09501bb60a43ccd08e48c9152d22,1cb7aa21be59c5466189802f2b141109de410c768d880aeb7ffde8f06ef56d96,25053
-46,2025-11-10 06:23:46.834083+09,anonymous,anonymous,,SYSTEM_ACTIVITY_SUMMARY,"/openDolphin/resources/dolphin/activity/2025,04",,2ff7792f-e128-4263-b7e7-739ce4ddcee2,192.168.65.1,curl/8.7.1,e0467d07f596125cc16ba64a01781a8d83f392c608905a56feddc72fca46458a,1cb7aa21be59c5466189802f2b141109de410c768d880aeb7ffde8f06ef56d96,7319e6f4eb8f783956248954e02753376ec0ccb946ca2057459f83c7b92cf3df,25054
-45,2025-11-10 21:26:59.604509+09,anonymous,anonymous,,SYSTEM_ACTIVITY_SUMMARY,"/openDolphin/resources/dolphin/activity/2025,04",,1097021e-aaeb-48c8-ae87-04b93ec46a64,172.23.0.7,curl/7.81.0,e0467d07f596125cc16ba64a01781a8d83f392c608905a56feddc72fca46458a,7319e6f4eb8f783956248954e02753376ec0ccb946ca2057459f83c7b92cf3df,846528f3812cbf65195b8d7523b10d4353c3c7e84b4026fb5e6db744be5cc02a,25093
-44,2025-11-10 21:32:07.878756+09,anonymous,anonymous,,SYSTEM_ACTIVITY_SUMMARY,"/openDolphin/resources/dolphin/activity/2025,04",,76dd12b6-85d0-42a4-af3d-b9790ffbbe47,172.23.0.7,curl/7.81.0,e0467d07f596125cc16ba64a01781a8d83f392c608905a56feddc72fca46458a,846528f3812cbf65195b8d7523b10d4353c3c7e84b4026fb5e6db744be5cc02a,c945739bb0147c41c320ef6cd81f0aa197147a0cee030d8584b1e2b3c2b2f26e,25096
-43,2025-11-10 22:51:48.094946+09,1.3.6.1.4.1.9414.72.103:doctor1,doctor1,,SYSTEM_ACTIVITY_SUMMARY,"/openDolphin/resources/dolphin/activity/2025,04",,trace-http-400,172.21.0.6,curl/7.81.0,7e6f0ea230544f239f5eabeb40e6cb955a1510f6950c4ebcc36eda15edcfe1b3,c945739bb0147c41c320ef6cd81f0aa197147a0cee030d8584b1e2b3c2b2f26e,b8b70dc7b2aac329173520767e54f0d3ca4b705acd6029486e619e1fd968088f,25112
-42,2025-11-10 22:51:56.846671+09,1.3.6.1.4.1.9414.72.103:doctor1,doctor1,,SYSTEM_ACTIVITY_SUMMARY,"/openDolphin/resources/dolphin/activity/2025,04",,trace-http-400,172.21.0.6,curl/7.81.0,7e6f0ea230544f239f5eabeb40e6cb955a1510f6950c4ebcc36eda15edcfe1b3,b8b70dc7b2aac329173520767e54f0d3ca4b705acd6029486e619e1fd968088f,45c4f4c3f10362bd3372470452704edadf04ff67250f465e6c0b4f188e7e2753,25113
-41,2025-11-10 23:13:47.023197+09,1.3.6.1.4.1.9414.72.103:doctor1,doctor1,,SYSTEM_ACTIVITY_SUMMARY,"/openDolphin/resources/dolphin/activity/2025,04",,trace-http-400,192.168.65.1,curl/8.7.1,7e6f0ea230544f239f5eabeb40e6cb955a1510f6950c4ebcc36eda15edcfe1b3,45c4f4c3f10362bd3372470452704edadf04ff67250f465e6c0b4f188e7e2753,e1aa96ed608368ca0ce92dd22bbc4d1282d294f516d4551552e4bb5191dce16f,25114
1,2025-11-10 05:18:27.015813+09,anonymous,anonymous,,EHT_CLAIM_SEND,/20/adm/eht/sendClaim,70001,8c93e452-918d-407b-8216-cc7ca67b9d80,172.23.0.7,curl/7.76.1,2601eb6023831c83e7dcbcec2899e5bf7992d3e2a8639f7263b508acad1d16d5,"",54e60ac558ee85192a35cc22f22526ce45ed09501bb60a43ccd08e48c9152d22,25052
52,2025-11-11 18:29:24.586096+09,1.3.6.1.4.1.9414.72.103:doctor1,doctor1,,SYSTEM_ACTIVITY_SUMMARY,"/openDolphin/resources/dolphin/activity/2025,04",,trace-http-400,172.19.0.7,curl/7.81.0,7e6f0ea230544f239f5eabeb40e6cb955a1510f6950c4ebcc36eda15edcfe1b3,e1aa96ed608368ca0ce92dd22bbc4d1282d294f516d4551552e4bb5191dce16f,0b11e5800e4a8c6096e658c5e6dc6648a46bfdc6a317a2d31e028398efb6a5b4,25283
53,2025-11-11 18:43:32.786512+09,1.3.6.1.4.1.9414.72.103:doctor1,doctor1,,SYSTEM_ACTIVITY_SUMMARY,"/openDolphin/resources/dolphin/activity/2025,04",,trace-http-400,172.19.0.7,curl/7.81.0,7e6f0ea230544f239f5eabeb40e6cb955a1510f6950c4ebcc36eda15edcfe1b3,0b11e5800e4a8c6096e658c5e6dc6648a46bfdc6a317a2d31e028398efb6a5b4,160bddb69e30b4c207236b52918af85697b841067b6bc33d6e4928f7c8fff1e1,25285
54,2025-11-11 20:05:51.873631+09,1.3.6.1.4.1.9414.72.103:doctor1,doctor1,,SYSTEM_ACTIVITY_SUMMARY,"/openDolphin/resources/dolphin/activity/2025,04",,trace-http-20251111T091717Z,172.19.0.7,curl/8.14.1,00fdb6c16c4c582745f5178336065c8cc25cdc859a3441a740f338b5d452941d,160bddb69e30b4c207236b52918af85697b841067b6bc33d6e4928f7c8fff1e1,a045773063e2aa62f745a121f92cd567f25e19d4f528100de08042225ca92017,25287
55,2025-11-11 20:07:08.954473+09,1.3.6.1.4.1.9414.72.103:doctor1,doctor1,,SYSTEM_ACTIVITY_SUMMARY,"/openDolphin/resources/dolphin/activity/2025,04",,trace-http-20251111T091717Z,172.19.0.7,curl/8.14.1,00fdb6c16c4c582745f5178336065c8cc25cdc859a3441a740f338b5d452941d,a045773063e2aa62f745a121f92cd567f25e19d4f528100de08042225ca92017,b9ed84f0496d09a260de2cfc06657fefb77c39aa57f00a7299fd522551345778,25288
57,2025-11-12 01:40:15.841699+09,SEQ_SMOKE,Sequence Smoke Test,system,SEQ_SMOKE,"{""path"":""/internal/seq-check""}",,trace-seq-smoke,127.0.0.1,reset_d_audit_event_seq.sql,SEQ_SMOKE_PAYLOAD_HASH,SEQ_SMOKE_PREV_HASH,SEQ_SMOKE_EVENT_HASH,"{""note"":""validation row created by reset_d_audit_event_seq.sql""}"
59,2025-11-12 03:10:36.755983+09,SEQ_SMOKE,Sequence Smoke Test,system,SEQ_SMOKE,"{""path"":""/internal/seq-check""}",,trace-seq-smoke,127.0.0.1,reset_d_audit_event_seq.sql,SEQ_SMOKE_PAYLOAD_HASH,SEQ_SMOKE_PREV_HASH,SEQ_SMOKE_EVENT_HASH,"{""note"":""validation row created by reset_d_audit_event_seq.sql""}"
